scenario,perturbation,P_total,dP_total,P_base,P_scr,P_cpu,P_wifi,P_4g,P_5g,P_gps,P_bg_sw,P_bg_int,P_base_share,P_scr_share,P_cpu_share,P_wifi_share,P_4g_share,P_5g_share,P_gps_share,P_bg_sw_share,P_bg_int_share
social_wifi,brightness_up,2.788700702453217,0.056999999999999496,0.4,1.444,0.36970070245321707,0.35,0.0,0.0,0.0,0.15,0.075,0.14343597347973572,0.517803864261846,0.13257095038129826,0.12550647679476876,0.0,0.0,0.0,0.0537884900549009,0.02689424502745045
social_wifi,brightness_down,2.674700702453217,-0.057000000000000384,0.4,1.3299999999999998,0.36970070245321707,0.35,0.0,0.0,0.0,0.15,0.075,0.14954944290892913,0.4972518976721893,0.13822133523729596,0.13085576254531298,0.0,0.0,0.0,0.05608104109084842,0.02804052054542421
social_wifi,cpu_up,2.772245813693967,0.040545111240749776,0.4,1.387,0.41024581369396723,0.35,0.0,0.0,0.0,0.15,0.075,0.14428734927621994,0.5003163836152926,0.14798320252392125,0.12625143061669244,0.0,0.0,0.0,0.05410775597858248,0.02705387798929124
social_wifi,cpu_down,2.6957607733034985,-0.035939929149718886,0.4,1.387,0.3337607733034986,0.35,0.0,0.0,0.0,0.15,0.075,0.14838111896324657,0.5145115300050576,0.12380949252202901,0.12983347909284074,0.0,0.0,0.0,0.055642919611217465,0.027821459805608732
social_wifi,net_4g,2.931700702453217,0.19999999999999973,0.4,1.387,0.36970070245321707,0.0,0.55,0.0,0.0,0.15,0.075,0.1364395757265686,0.4731042288318765,0.12610451747132825,0.0,0.1876044166240318,0.0,0.0,0.05116484089746321,0.025582420448731606
social_wifi,net_5g,3.1317007024532173,0.3999999999999999,0.4,1.387,0.36970070245321707,0.0,0.0,0.75,0.0,0.15,0.075,0.12772612647391882,0.44289034354831347,0.11805109669759056,0.0,0.0,0.23948648713859777,0.0,0.04789729742771955,0.023948648713859776
social_wifi,gps_on,3.1317007024532173,0.3999999999999999,0.4,1.387,0.36970070245321707,0.35,0.0,0.0,0.4,0.15,0.075,0.12772612647391882,0.44289034354831347,0.11805109669759056,0.11176036066467895,0.0,0.0,0.12772612647391882,0.04789729742771955,0.023948648713859776
social_wifi,bg_on_more_intensity,2.7317007024532174,0.0,0.4,1.387,0.36970070245321707,0.35,0.0,0.0,0.0,0.15,0.075,0.14642892599499574,0.5077423008876477,0.13533719199955013,0.12812531024562124,0.0,0.0,0.0,0.054910847248123396,0.027455423624061698
gaming_wifi,baseline,3.619131056483003,0.0,0.4,1.501,1.0981310564830031,0.35,0.0,0.0,0.0,0.15,0.12,0.1105237676550768,0.4147404381256756,0.3034239543538786,0.09670829669819218,0.0,0.0,0.0,0.041446412870653794,0.033157130296523035
gaming_wifi,brightness_up,3.6761310564830034,0.057000000000000384,0.4,1.558,1.0981310564830031,0.35,0.0,0.0,0.0,0.15,0.12,0.10881004889490653,0.42381514044566093,0.2987192348723273,0.09520879278304321,0.0,0.0,0.0,0.04080376833558995,0.032643014668471956
gaming_wifi,brightness_down,3.562131056483003,-0.05699999999999994,0.4,1.444,1.0981310564830031,0.35,0.0,0.0,0.0,0.15,0.12,0.11229233109545717,0.40537531525460035,0.3082792404519839,0.09825578970852501,0.0,0.0,0.0,0.04210962416079644,0.03368769932863715
gaming_wifi,cpu_up,3.7003529894259737,0.08122193294297064,0.4,1.501,1.1793529894259738,0.35,0.0,0.0,0.0,0.15,0.12,0.10809779530305054,0.4056369768746971,0.3187136451025241,0.09458557089016921,0.0,0.0,0.0,0.04053667323864395,0.03242933859091516
gaming_wifi,cpu_down,3.5407269000560677,-0.07840415642693532,0.4,1.501,1.0197269000560678,0.35,0.0,0.0,0.0,0.15,0.12,0.11297115289904623,0.42392425125367095,0.2879993088537612,0.09884975878666544,0.0,0.0,0.0,0.042364182337142335,0.03389134586971387
gaming_wifi,net_4g,3.819131056483003,0.20000000000000018,0.4,1.501,1.0981310564830031,0.0,0.55,0.0,0.0,0.15,0.12,0.10473586637489098,0.39302133857177834,0.28753426898480416,0.0,0.1440118162654751,0.0,0.0,0.03927594989058411,0.03142075991246729
gaming_wifi,net_5g,4.019131056483003,0.3999999999999999,0.4,1.501,1.0981310564830031,0.0,0.0,0.75,0.0,0.15,0.12,0.09952400018277226,0.3734638106858528,0.27322598866530573,0.0,0.0,0.18660750034269796,0.0,0.03732150006853959,0.029857200054831674
gaming_wifi,gps_on,4.019131056483003,0.3999999999999999,0.4,1.501,1.0981310564830031,0.35,0.0,0.0,0.4,0.15,0.12,0.09952400018277226,0.3734638106858528,0.27322598866530573,0.0870835001599257,0.0,0.0,0.09952400018277226,0.03732150006853959,0.029857200054831674
